Nominated By,Name,URL,Description,quality dimension it asseses or improves,,,applies to (software tier),,,How to use,,,programming languages it applies to,Free/Paid/Freemium,License,"Used by - choose from (ESCAPE, PANOSC, SSHOC, EOSC-Life, ENVRI-FAIR)",The tool/service can evaluate or measure software quality,,,,,,,,,,,,,,,,,,,,,,,Which aspects
Tobias Huste,Playwright,https://playwright.dev/docs,"Playwright is a framework for Web Testing and Automation. It allows testing Chromium, Firefox and WebKit with a single API.",,"Long-term usability, Code analysis",,x,x,x,x,x,,Browser-based,free,Apache-2.0,,x,,,,,,,,,,,,,,,,,,,,,,,
Tobias Huste,Score-P,https://gitlab.com/score-p/scorep,The Score-P (Scalable Performance Measurement Infrastructure for Parallel Codes) measurement infrastructure is a highly scalable and easy-to-use tool suite for profiling and event trace recording of HPC applications.,,Resource efficiency,,x,x,,x,,,C/C++,free,BSD,,x,,,,,,,,,,,,,,,,,,,,,,,
Elena Breitmoser,F-UJI,https://github.com/softwaresaved/fuji/,Original version for automated assessment of data FAIRness; extended version (POC only - not all metrics are implemented) for research software based on the FAIR4RS principles.,x,documentation,x,x,x,x,,,x (to be added to main branch of F-UJI),,free,MIT,,x,,,,,,,,,,,,,,,,,,,,,,,
Tobias Huste,Software Heritage,https://www.softwareheritage.org/,Software Heritage is a service for archiving and referencing historical and contemporary software — with a focus on human readable source code.,x,,x,x,x,x,,,x,*,free,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Huste,somesy,https://github.com/Materials-Data-Science-and-Informatics/somesy,Somesy (software metadata sync) is a CLI tool to avoid messy software project metadata by keeping it in sync.,x,Documentation,,x,x,x,x,,,*,free,MIT,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Huste,choosealicense,https://choosealicense.com/,A site to provide non-judgmental guidance on choosing a license for your open source project,,Documentation,,x,x,x,,,x,*,free,MIT,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Huste,gitleaks,https://github.com/gitleaks/gitleaks,"Gitleaks is a SAST tool for detecting and preventing hardcoded secrets like passwords, API keys, and tokens in git repos. Gitleaks is an easy-to-use, all-in-one solution for detecting secrets, past or present, in your code.",,Security,,x,x,x,x,x,,*,free,MIT,,x,,,,,,,,,,,,,,,,,,,,,,,
Tobias Huste,black,https://github.com/psf/black,"Black is the uncompromising Python code formatter. By using it, you agree to cede control over minutiae of hand-formatting. In return, Black gives you speed, determinism, and freedom from pycodestyle nagging about formatting.",,"Code analysis, Documentation",,x,x,x,x,x,,*,free,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Huste,pre-commit,https://pre-commit.com/,A framework for managing and maintaining multi-language pre-commit hooks.,,"Long-term usability, Security, Functionnal sustainability, Code analysis, Documentation",,x,x,x,x,,,*,free,MIT,,,,,,,,,,,,,,,,,,,,,,,,,
Katja Linnemann,REUSE,https://reuse.software,Automate the declaring of copyright and licensing for software projects with SPDX Tags.,x,,x,,x,x,x,x,,*,free,"multiple, original source code: GPL-3.0-or-later",,,,,,,,,,,,,,,,,,,,,,,,,
Katja Linnemann,Zenodo GitHub Integration,https://docs.github.com/en/repositories/archiving-a-github-repository/referencing-and-citing-content,Zenodo archives your repository and issues a new DOI each time you create a new GitHub release,x,Documentation,,,x,x,,x,x,*,free,,,,,,,,,,,,,,,,,,,,,,,,,,
Elena Breitmoser,Five Recommendations for FAIR Software,https://fair-software.nl/,“Guided”approaches to assess the FAIRness of research software: Asking a series of questions to a human. You assess yourself as to whether your resources satisfy FAIR principles. Does not explicitly se FAIR4RS principles.,x,Documentation,x,x,x,x,,,x (plus self-assessment component),,x,,,x,,,,,,,,,,,,,,,,,,,,,,,
Elena Breitmoser,Use the FAIR-Aware tool,https://satifyd.dans.knaw.nl/,"""Guided"" approach to assess the FAIRness of data.",x,Documentation,x,,,,,,x (plus self-assessment component),,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Elena Breitmoser,FAIR data self-assessment tool,https://ardc.edu.au/resource/fair-data-self-assessment-tool/,"""Guided"" approach to assess the FAIRness of data.",x,Documentation,x,,,,,,x (plus self-assessment component),,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Hüser,Creative Commons License Chooser,https://chooser-beta.creativecommons.org/,License chooser dialog window to select an appropriate Creative Commons license.,x,Documentation,x,x,x,x,,,x,-,free,-,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Hüser,MkDocs,https://www.mkdocs.org/,Create static documentation for software projects.,x,Documenation,,x,x,x,x,x,,*,free,BSD-2-Clause,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Hüser,pytest,https://docs.pytest.org/en/latest/,Python testing tool.,,Code analysis,,x,x,x,x,x,,Python,free,MIT,,,,,,,,,,,,,,,,,,,,,,,,,
Katja Linnemann,tox,https://tox.wiki/,Python testing tool.,x,Code analysis,,x,x,x,x,,,Python,free,MIT,,,,,,,,,,,,,,,,,,,,,,,,,
Katja Linnemann,JUnit,https://junit.org,Java testing tool,x,Code analysis,,x,x,x,x,,,Java,,EPL-2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Katja Linnemann,CppUnit,https://freedesktop.org/wiki/Software/cppunit/,C++ testing tool,x,Code analysis,,x,x,x,x,,,C++,free,LGPL,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Vuillaume,Docker,https://www.docker.com/,"Docker provides a suite of development tools, services, trusted content, and automations, used individually or together, to accelerate the delivery of secure applications.","Interroperable, Reusable",Long-term usability,,,x,x,x,x,,,freemium,Apache-2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Katja Linnemann,Apptainer (formerly Singularity),https://apptainer.org/,container platform designed for ease-of-use on shared systems and in high performance computing (HPC) environments,x,"Usability, Reproducability, Portability",,,x,x,x,,,,free,BSD 3-Clause,,,,,,,,,,,,,,,,,,,,,,,,,
Katja Linnemann,SingularityCE (formerly Singularity),https://sylabs.io/singularity/,container platform designed for ease-of-use on shared systems and in high performance computing (HPC) environments,x,"Usability, Reproducability, Portability",,,x,x,x,,,,free,BSD 3-Clause,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Vuillaume,VSCode,https://code.visualstudio.com/,"Visual Studio Code, also commonly referred to as VS Code,[9] is an integrated development environment developed by Microsoft for Windows, Linux, macOS and web browsers.",,"Code analysis, Maintainability",,x,x,x,,,x,,,Microsoft Software License,,,,,,,,,,,,,,,,,,,,,,,,,
Tom François,Ruff,https://docs.astral.sh/ruff/,"An extremely fast Python linter and code formatter, written in Rust.",,Code analysis,,x,x,x,x,x,,Python,free,MIT,,,,,,,,,,,,,,,,,,,,,,,,,
Katja Linnemann,Pylint,https://pylint.pycqa.org,Static code analysis for Python,,Code analysis,,x,x,x,x,x,,Python,free,GPLv2,,,,,,,,,,,,,,,,,,,,,,,,,
Katja Linnemann,Hadolint,https://github.com/hadolint/hadolint,Dockerfile linter,,Code analysis,,,x,x,x,x,,Docker,free,GPL-3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Katja Linnemann,checkstyle,https://chechstyle.sourceforge.net,Static code analysis for Java,,Code analysis,,x,x,x,x,x,,Java,free,LGPL-2.1,,,,,,,,,,,,,,,,,,,,,,,,,
Katja Linnemann,flake8,https://flake8.pycqa.org,Static code analysis for python,,Code analysis,,x,x,x,x,x,,Python,free,MIT,,,,,,,,,,,,,,,,,,,,,,,,,
